city,population,lat,lon,region_name,region_name_ao,region_iso_code,federal_district,okato,oktmo,kladr_id,fias_id
Алейск,29.0,52.4922513,82.7793606,Алтайский край,,RU-ALT,Сибирский,1403000000,1703000001,2200000200000,ae716080-f27b-40b6-a555-cf8b518e849e
Барнаул,632.4,53.3479968,83.7798064,Алтайский край,,RU-ALT,Сибирский,1401000000,1701000001,2200000100000,d13945a8-7017-46ab-b1e6-ede1e89317ad
Белокуриха,15.2,51.996152,84.9839604,Алтайский край,,RU-ALT,Сибирский,1404000000,1704000001,2200000300000,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1
Бийск,199.5,52.5393864,85.2138453,Алтайский край,,RU-ALT,Сибирский,1405000000,1705000001,2200000400000,52f876f6-cb1d-4f23-a22f-b692609fc1e0
Горняк,12.3,50.9979622,81.4643358,Алтайский край,,RU-ALT,Сибирский,1225501000,1625101001,2202700100000,094b3627-2699-4782-8492-4d82aac71958
Заринск,45.9,53.7063476,84.9315081,Алтайский край,,RU-ALT,Сибирский,1406000000,1706000001,2200001100000,142e04ef-dec1-44fa-b553-fac215764374
Змеиногорск,10.2,51.1581094,82.1872547,Алтайский край,,RU-ALT,Сибирский,1214501000,1614101001,2201500100000,e7001b8f-d104-4873-96d4-66339f5e530a
Камень-на-Оби,40.5,53.7913974,81.3545053,Алтайский край,,RU-ALT,Сибирский,1216501000,1616101001,2201800100000,810ca9c7-f10e-4def-9c48-f0aa83168ca7
Новоалтайск,74.6,53.4119759,83.9311069,Алтайский край,,RU-ALT,Сибирский,1413000000,1713000001,2200000800000,aa288d9f-4b2a-42a6-97f0-3502dddfa383
Рубцовск,141.6,51.5012067,81.2078695,Алтайский край,,RU-ALT,Сибирский,1416000000,1716000001,2200000900000,65db5c88-c65c-43f0-9c21-13e15a032d4a
Славгород,29.1,52.999463,78.6459232,Алтайский край,,RU-ALT,Сибирский,1419000000,1719000001,2200001000000,94ae181d-b153-4dd1-8a2f-12852919875f
Яровое,18.1,52.9252146,78.5729775,Алтайский край,,RU-ALT,Сибирский,1430000000,1730000001,2200001200000,e07d57ed-22ce-4020-b59c-f7aae6f091bf
Белогорск,65.3,50.9213415,128.4739471,Амурская область,,RU-AMU,Дальневосточный,10410000000,10710000001,2800000300000,c528e99b-7e81-4290-9cda-8713884472a5
Благовещенск,226.4,50.290659,127.527198,Амурская область,,RU-AMU,Дальневосточный,10401000000,10701000001,2800000100000,8f41253d-6e3b-48a9-842a-25ba894bd093
