,city,geo_lat,geo_lon,region,region_iso_code,federal_district,capital_marker,okato,oktmo,kladr_id,fias_id,unparsed_parts,query_city,query_region
0,Алейск,52.4922513,82.7793606,Алтайский,RU-ALT,Сибирский,0,01403000000,01703000001,2200000200000,ae716080-f27b-40b6-a555-cf8b518e849e,,Алейск,Алтайский край
1,Барнаул,53.3479968,83.7798064,Алтайский,RU-ALT,Сибирский,2,01401000000,01701000001,2200000100000,d13945a8-7017-46ab-b1e6-ede1e89317ad,,Барнаул,Алтайский край
2,Белокуриха,51.996152,84.9839604,Алтайский,RU-ALT,Сибирский,0,01404000000,01704000001,2200000300000,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,,Белокуриха,Алтайский край
3,Бийск,52.5393864,85.2138453,Алтайский,RU-ALT,Сибирский,0,01405000000,01705000001,2200000400000,52f876f6-cb1d-4f23-a22f-b692609fc1e0,,Бийск,Алтайский край
4,Горняк,50.9979622,81.4643358,Алтайский,RU-ALT,Сибирский,1,01225501000,01625101001,2202700100000,094b3627-2699-4782-8492-4d82aac71958,,Горняк,Алтайский край
5,Заринск,53.7063476,84.9315081,Алтайский,RU-ALT,Сибирский,0,01406000000,01706000001,2200001100000,142e04ef-dec1-44fa-b553-fac215764374,,Заринск,Алтайский край
6,Змеиногорск,51.1581094,82.1872547,Алтайский,RU-ALT,Сибирский,1,01214501000,01614101001,2201500100000,e7001b8f-d104-4873-96d4-66339f5e530a,,Змеиногорск,Алтайский край
7,Камень-на-Оби,53.7913974,81.3545053,Алтайский,RU-ALT,Сибирский,1,01216501000,01616101001,2201800100000,810ca9c7-f10e-4def-9c48-f0aa83168ca7,,Камень-на-Оби,Алтайский край
8,Новоалтайск,53.4119759,83.9311069,Алтайский,RU-ALT,Сибирский,0,01413000000,01713000001,2200000800000,aa288d9f-4b2a-42a6-97f0-3502dddfa383,,Новоалтайск,Алтайский край
9,Рубцовск,51.5012067,81.2078695,Алтайский,RU-ALT,Сибирский,0,01416000000,01716000001,2200000900000,65db5c88-c65c-43f0-9c21-13e15a032d4a,,Рубцовск,Алтайский край
10,Славгород,52.999463,78.6459232,Алтайский,RU-ALT,Сибирский,0,01419000000,01719000001,2200001000000,94ae181d-b153-4dd1-8a2f-12852919875f,,Славгород,Алтайский край
11,Яровое,52.9252146,78.5729775,Алтайский,RU-ALT,Сибирский,0,01430000000,01730000001,2200001200000,e07d57ed-22ce-4020-b59c-f7aae6f091bf,,Яровое,Алтайский край
12,Белогорск,50.9213415,128.4739471,Амурская,RU-AMU,Дальневосточный,0,10410000000,10710000001,2800000300000,c528e99b-7e81-4290-9cda-8713884472a5,,Белогорск,Амурская область
13,Благовещенск,50.290659,127.527198,Амурская,RU-AMU,Дальневосточный,2,10401000000,10701000001,2800000100000,8f41253d-6e3b-48a9-842a-25ba894bd093,,Благовещенск,Амурская область
14,Завитинск,50.1064111,129.4391813,Амурская,RU-AMU,Дальневосточный,1,10221501000,10621101001,2800500100000,7b39476f-0edb-4bc3-bb31-6cedfb2aa695,,Завитинск,Амурская область
15,Зея,53.7340088,127.265787,Амурская,RU-AMU,Дальневосточный,0,10412000000,10712000001,2800000400000,581855f4-f0bc-44a5-a36e-a298279f9ec4,,Зея,Амурская область
16,Райчихинск,49.7941615,129.4112492,Амурская,RU-AMU,Дальневосточный,0,10420000000,10720000001,2800000200000,981b5f3a-f0b6-444f-a6fb-c2bc10804b31,,Райчихинск,Амурская область
17,Свободный,51.3614103,128.1219729,Амурская,RU-AMU,Дальневосточный,0,10430000000,10730000001,2800000500000,dd560dfa-3feb-48e2-aa3b-b71213e7441e,,Свободный,Амурская область
