city,population,region_name,lat,lon,federal_district,region_iso_code,fias_id,kladr_id
Алейск,29.0,Алтайский край,,,,,,
Барнаул,632.4,Алтайский край,,,,,,
Белокуриха,15.2,Алтайский край,,,,,,
Бийск,199.5,Алтайский край,,,,,,
Горняк,12.3,Алтайский край,,,,,,
Заринск,45.9,Алтайский край,,,,,,
Змеиногорск,10.2,Алтайский край,,,,,,
Камень-на-Оби,40.5,Алтайский край,,,,,,
Новоалтайск,74.6,Алтайский край,,,,,,
Рубцовск,141.6,Алтайский край,,,,,,
Славгород,29.1,Алтайский край,,,,,,
Яровое,18.1,Алтайский край,,,,,,
Белогорск,65.3,Амурская область,,,,,,
Благовещенск,226.4,Амурская область,,,,,,
Завитинск,10.2,Амурская область,,,,,,
Зея,23.0,Амурская область,,,,,,
Райчихинск,16.8,Амурская область,,,,,,
Свободный,54.0,Амурская область,,,,,,
Сковородино,8.9,Амурская область,,,,,,
Тында,33.2,Амурская область,,,,,,
Циолковский,7.2,Амурская область,,,,,,
Шимановск,18.6,Амурская область,,,,,,
Архангельск,347.0,Архангельская область,,,,,,
Вельск,22.3,Архангельская область,,,,,,
Каргополь,10.0,Архангельская область,,,,,,
Коряжма,35.7,Архангельская область,,,,,,
Котлас,62.0,Архангельская область,,,,,,
Мезень,3.2,Архангельская область,,,,,,
Мирный,32.9,Архангельская область,,,,,,
Нарьян-Мар,25.1,Архангельская область,,,,,,
Новодвинск,37.7,Архангельская область,,,,,,
Няндома,19.1,Архангельская область,,,,,,
Онега,18.5,Архангельская область,,,,,,
Северодвинск,182.0,Архангельская область,,,,,,
Сольвычегодск,1.9,Архангельская область,,,,,,
Шенкурск,4.7,Архангельская область,,,,,,
Астрахань,529.8,Астраханская область,,,,,,
Ахтубинск,36.5,Астраханская область,,,,,,
Знаменск,26.7,Астраханская область,,,,,,
Камызяк,15.7,Астраханская область,,,,,,
Нариманов,10.8,Астраханская область,,,,,,
Харабали,17.5,Астраханская область,,,,,,
Алексеевка,37.8,Белгородская область,,,,,,
Белгород,394.1,Белгородская область,,,,,,
Бирюч,7.5,Белгородская область,,,,,,
Валуйки,34.2,Белгородская область,,,,,,
Грайворон,6.5,Белгородская область,,,,,,
Губкин,86.2,Белгородская область,,,,,,
Короча,5.8,Белгородская область,,,,,,
Новый Оскол,18.5,Белгородская область,,,,,,
Старый Оскол,223.9,Белгородская область,,,,,,
Строитель,24.1,Белгородская область,,,,,,
Шебекино,40.9,Белгородская область,,,,,,
Брянск,402.7,Брянская область,,,,,,
Дятьково,26.2,Брянская область,,,,,,
Жуковка,16.4,Брянская область,,,,,,
Злынка,5.3,Брянская область,,,,,,
Карачев,17.2,Брянская область,,,,,,
Клинцы,63.0,Брянская область,,,,,,
Мглин,7.1,Брянская область,,,,,,
Новозыбков,39.5,Брянская область,,,,,,
Почеп,16.4,Брянская область,,,,,,
Севск,6.6,Брянская область,,,,,,
Сельцо,16.4,Брянская область,,,,,,
Стародуб,18.2,Брянская область,,,,,,
Сураж,10.7,Брянская область,,,,,,
Трубчевск,13.6,Брянская область,,,,,,
Унеча,22.8,Брянская область,,,,,,
Фокино,12.8,Брянская область,,,,,,
Александров,57.9,Владимирская область,,,,,,
Владимир,356.9,Владимирская область,,,,,,
Вязники,34.5,Владимирская область,,,,,,
Гороховец,12.6,Владимирская область,,,,,,
Гусь-Хрустальный,52.8,Владимирская область,,,,,,
Камешково,12.0,Владимирская область,,,,,,
Карабаново,14.9,Владимирская область,,,,,,
Киржач,26.7,Владимирская область,,,,,,
Ковров,135.7,Владимирская область,,,,,,
Кольчугино,42.0,Владимирская область,,,,,,
Костерево,8.1,Владимирская область,,,,,,
Курлово,5.8,Владимирская область,,,,,,
Лакинск,14.1,Владимирская область,,,,,,
Меленки,13.5,Владимирская область,,,,,,
Муром,107.0,Владимирская область,,,,,,
Петушки,12.5,Владимирская область,,,,,,
Покров,16.7,Владимирская область,,,,,,
Радужный,18.3,Владимирская область,,,,,,
Собинка,17.3,Владимирская область,,,,,,
Струнино,12.9,Владимирская область,,,,,,
Судогда,10.1,Владимирская область,,,,,,
Суздаль,9.6,Владимирская область,,,,,,
Юрьев-Польский,18.1,Владимирская область,,,,,,
Волгоград,1009.0,Волгоградская область,,,,,,
Волжский,323.9,Волгоградская область,,,,,,
Дубовка,13.7,Волгоградская область,,,,,,
Жирновск,15.5,Волгоградская область,,,,,,
Калач-на-Дону,23.6,Волгоградская область,,,,,,
Камышин,109.9,Волгоградская область,,,,,,
Котельниково,20.4,Волгоградская область,,,,,,
Котово,21.4,Волгоградская область,,,,,,
Краснослободск,17.1,Волгоградская область,,,,,,
Ленинск,14.4,Волгоградская область,,,,,,
Михайловка,57.4,Волгоградская область,,,,,,
Николаевск,13.4,Волгоградская область,,,,,,
Новоаннинский,15.9,Волгоградская область,,,,,,
Палласовка,14.5,Волгоградская область,,,,,,
Петров Вал,12.4,Волгоградская область,,,,,,
Серафимович,8.6,Волгоградская область,,,,,,
