,city,region_name,lat_x,lon_x,lat_y,lon_y,distance_km
933,Сычевка,Смоленская область,55.8308821,34.2778793,54.356365,32.08746,215.17183787002423
791,Сорск,Республика Хакасия,54.0002888,90.2594446,54.0834652,90.0184549555963,18.251785365747356
838,Чапаевск,Самарская область,52.928961,49.8673269,52.981285,49.711193,11.96848696518766
71,Вязники,Владимирская область,56.29773,42.2687398,56.24514,42.137577,9.988880301507837
874,Артемовский,Свердловская область,57.3384177,61.8947443,57.3998447,61.96666621799851,8.0777766129309
908,Полевской,Свердловская область,56.4956952,60.2365298,56.442108,60.165859,7.37209575979994
549,Новосибирск,Новосибирская область,55.028191,82.9211489,54.96781445,82.95159894278376,6.988845815470311
300,Шарья,Костромская область,58.3760542,45.4062414,58.37257,45.519306,6.603834482146122
262,Новокузнецк,Кемеровская область - Кузбасс,53.794315,87.2142745,53.757607,87.136101,6.561031337862809
667,Гусиноозерск,Республика Бурятия,51.2865048,106.5230319,51.3174054,106.44796676012972,6.248177876882157
822,Рязань,Рязанская область,54.6254445,39.7358609,54.6702523,39.68844236231995,5.84222574445767
813,Таганрог,Ростовская область,47.2094917,38.9350989,47.2392184,38.87550310009352,5.583891008509982
808,Новошахтинск,Ростовская область,47.757773,39.9363697,47.79626975,39.89356042203927,5.343875186563895
602,Кунгур,Пермский край,57.4283296,56.9438656,57.3915362,56.98942623195818,4.917745401056746
452,Люберцы,Московская область,55.7003989,37.9606238,55.6783142,37.89377,4.8568466981919185
256,Кемерово,Кемеровская область - Кузбасс,55.3910651,86.0467781,55.355125,86.087234,4.743934419284597
708,Печора,Республика Коми,65.148584,57.2239777,65.1155035,57.1616254,4.69376378207038
114,Вологда,Вологодская область,59.2483905,39.8355662,59.218876,39.893276,4.6417487919301355
321,Темрюк,Краснодарский край,45.2610949,37.4454412,45.2751663,37.3905481,4.571895836973771
533,Великий Новгород,Новгородская область,58.5213846,31.2755394,58.5609587,31.2809005856491,4.411423503087866
78,Кольчугино,Владимирская область,56.3327254,39.391336,56.2939784,39.3759931,4.411159217101804
1078,Сатка,Челябинская область,55.0405288,59.0288975,55.04667015,58.96060250930489,4.404299645684686
138,Россошь,Воронежская область,50.1701949,39.6226965,50.1961874,39.5764857,4.379444979972186
25,Коряжма,Архангельская область,61.2885948,47.1003015,61.3151659,47.1607626,4.37625719601195
496,Мурманск,Мурманская область,69.007721,33.0685865,68.970665,33.07497,4.128291291067954
970,Калязин,Тверская область,57.2579478,37.7819693,57.2400206,37.8404883,4.04545316073134
379,Кириши,Ленинградская область,59.4742862,32.0624947,59.450325,32.010578,3.962657133759914
727,Щелкино,Республика Крым,45.4288991,35.825165,45.393622,35.83208068979651,3.959607281837162
864,Невельск,Сахалинская область,46.6526899,141.8630725,46.6879219,141.8599427,3.924891482976014
363,Льгов,Курская область,51.6597148,35.2612491,51.6906587,35.2839999,3.7815532797582088
466,Раменское,Московская область,55.5495132,38.2728914,55.5709361,38.2282099,3.6836767224980536
397,Сосновый Бор,Ленинградская область,59.8772884,29.1291619,59.89695,29.076492,3.662428285268393
265,Прокопьевск,Кемеровская область - Кузбасс,53.8604265,86.7183577,53.890972,86.737663,3.6246133009043735
797,Волгодонск,Ростовская область,47.5165338,42.1984951,47.5412272,42.22788957160185,3.522782330395669
371,Волхов,Ленинградская область,59.9005958,32.3520756,59.9275868,32.3276803,3.294955729873657
562,Бугуруслан,Оренбургская область,53.6523728,52.4326853,53.6247165,52.4182422,3.219272004104548
478,Хотьково,Московская область,56.2516982,37.9396017,56.2541234,37.9908107,3.1747507533067836
436,Кашира,Московская область,54.853337,38.1904392,54.837449,38.1505119,3.1073899422742572
353,Куртамыш,Курганская область,54.9368539,64.4203722,54.909466,64.428383,3.088117984703356
9,Рубцовск,Алтайский край,51.5012067,81.2078695,51.5276264,81.2176174,3.014183393247636
270,Юрга,Кемеровская область - Кузбасс,55.7202694,84.8886399,55.7136,84.934799,2.9847320190930677
93,Волжский,Волгоградская область,48.7978209,44.7462538,48.782102,44.7779843,2.9083191382791678
587,Пенза,Пензенская область,53.1753314,45.0348625,53.1937836,45.006741250609664,2.778654229920333
233,Людиново,Калужская область,53.8700828,34.4385915,53.8454692,34.43152145267353,2.7759051063151876
399,Тихвин,Ленинградская область,59.6272904,33.5072731,59.644323,33.5418624,2.7142141134414723
1098,Новочебоксарск,Чувашская Республика,56.1094977,47.4791113,56.09862685,47.51815143056067,2.7059500213943015
650,Благовещенск,Республика Башкортостан,55.0499867,55.9553186,55.031143,55.981876,2.6932389544679265
800,Зверево,Ростовская область,48.0435487,40.1265822,48.020645,40.118561,2.615683785515395
135,Острогожск,Воронежская область,50.8677905,39.0407746,50.864902,39.077244,2.579447070153586
547,Куйбышев,Новосибирская область,55.4685094,78.3242048,55.4454258,78.3222294,2.569799233821125
842,Балаково,Саратовская область,52.0224231,47.7827765,52.01812,47.819141,2.5339155004031237
1044,Сарапул,Удмуртская Республика,56.4615767,53.8037657,56.4811552,53.78279376532065,2.5295439718953565
448,Лобня,Московская область,56.0328881,37.4614035,56.0104473,37.4670831,2.5201419916045125
743,Ленск,Республика Саха (Якутия),60.7276196,114.9548255,60.7145488,114.9172123,2.5092337018808464
36,Астрахань,Астраханская область,46.3655652,48.0559236,46.3498308,48.0326203,2.501836225763357
751,Удачный,Республика Саха (Якутия),66.4071765,112.3061555,66.411768,112.2517294,2.4751853685432397
337,Игарка,Красноярский край,67.4666901,86.5812794,67.4566185,86.5308425,2.423907809217326
522,Павлово,Нижегородская область,55.9797564,43.0995042,55.965137,43.071114,2.4006799653456774
421,Высоковск,Московская область,56.3359513,36.5251837,56.3205097,36.5521708,2.3908764065514374
168,Южа,Ивановская область,56.5926877,42.0458099,56.5840428,42.0109249,2.3423275175487923
599,Красновишерск,Пермский край,60.3901321,57.0535682,60.40546155,57.08203197046519,2.3129797207103655
985,Асино,Томская область,56.9907085,86.1765257,56.999187,86.14167,2.3121233774143395
97,Камышин,Волгоградская область,50.0651529,45.3844202,50.0808422,45.4048003,2.2713318620864285
792,Черногорск,Республика Хакасия,53.8259342,91.3260229,53.82378765,91.29181719923317,2.257689380536742
568,Оренбург,Оренбургская область,51.7875092,55.1018828,51.767452,55.097118,2.2542213516136353
1057,Хабаровск,Хабаровский край,48.4647258,135.0598942,48.481403,135.076935,2.239864916986753
617,Артем,Приморский край,43.3501675,132.1596175,43.3570377,132.1853629,2.2173514752112515
1073,Миасс,Челябинская область,55.0456457,60.1077572,55.065304,60.108337,2.186215126001338
420,Воскресенск,Московская область,55.3071519,38.7027953,55.322518,38.6816824,2.168924708688947
77,Ковров,Владимирская область,56.3554349,41.3170576,56.374603,41.311676,2.1570142953224267
973,Конаково,Тверская область,56.7275204,36.8012716,56.7131572,36.7775654,2.154758699685393
8,Новоалтайск,Алтайский край,53.4119759,83.9311069,53.393341,83.939407,2.1439187152756465
103,Николаевск,Волгоградская область,50.0165306,45.4731658,50.03146,45.454487,2.129895684503851
189,Усть-Кут,Иркутская область,56.7928178,105.7757343,56.780561,105.7489287,2.126757486353189
664,Учалы,Республика Башкортостан,54.3067375,59.4125461,54.316597,59.384636,2.11655034890731
21,Шимановск,Амурская область,52.0051886,127.7005458,51.9987022,127.6719156,2.0883942775853677
516,Кстово,Нижегородская область,56.1432084,44.1664198,56.149551,44.198032,2.0813106152334915
704,Вуктыл,Республика Коми,63.8615274,57.3165402,63.844337,57.300171,2.0729573647406427
404,Елец,Липецкая область,52.6152411,38.5289342,52.6219865,38.5003298,2.071590567138997
939,Железноводск,Ставропольский край,44.1320568,43.0306461,44.1424034,43.0090751,2.070471567525818
702,Суоярви,Республика Карелия,62.0787293,32.3499386,62.09551245,32.366268473677,2.05067133056899
132,Лиски,Воронежская область,50.9945626,39.5184909,50.982079,39.496941,2.0498960421385632
183,Свирск,Иркутская область,53.0842668,103.3364093,53.066269,103.342331,2.039985960821765
413,Апрелевка,Московская область,55.5276918,37.065143,55.5454564,37.0729156,2.0349782775821295
624,Партизанск,Приморский край,43.1280578,133.1264567,43.1413275,133.1436968,2.033271154549056
579,Орел,Орловская область,52.9671298,36.0696427,52.96801715,36.09949941816104,2.0019083430563747
328,Ачинск,Красноярский край,56.253907,90.4794397,56.2694846,90.4953964,1.9928508052013385
567,Новотроицк,Оренбургская область,51.1964202,58.3018192,51.20521645,58.32671530043477,1.9913676338672197
61,Почеп,Брянская область,52.9154851,33.4744058,52.92878,33.454536,1.9899318270134434
535,Окуловка,Новгородская область,58.3910296,33.2901557,58.3740782,33.3009383,1.9869487294180568
17,Свободный,Амурская область,51.3614103,128.1219729,51.377354,128.13475,1.9823576960079687
690,Беломорск,Республика Карелия,64.5378417,34.7799462,64.5216684,34.7625835,1.980790760483978
456,Ногинск,Московская область,55.8686133,38.4622104,55.8553511,38.4411898,1.9736511024991483
246,Петропавловск-Камчатский,Камчатский край,53.036908,158.6559254,53.0199838,158.6471356,1.9715522699748822
147,Нерчинск,Забайкальский край,51.9594977,116.5852383,51.97694,116.588341,1.951107958864064
504,Балахна,Нижегородская область,56.495036,43.5758423,56.4870505,43.6039553,1.940811659867966
709,Сосногорск,Республика Коми,63.5989841,53.876293,63.58523435,53.90040175016682,1.938842819200456
235,Медынь,Калужская область,54.9689785,35.8872168,54.9695,35.857,1.9295398452375474
393,Приозерск,Ленинградская область,61.0330896,30.1587851,61.0385285,30.1248482,1.9248947445912796
866,Поронайск,Сахалинская область,49.238866,143.1008333,49.2216366,143.1015759,1.9165805563755907
1072,Магнитогорск,Челябинская область,53.4072153,58.9791437,53.4242184,58.983136,1.9090815124373877
