,city,lat_x,lon_x,region_name,lat_y,lon_y,distance_km
933,Сычевка,55.8308821,34.2778793,Смоленская область,54.356365,32.08746,215.17183787002423
791,Сорск,54.0002888,90.2594446,Республика Хакасия,54.0834652,90.0184549555963,18.251785365747356
838,Чапаевск,52.928961,49.8673269,Самарская область,52.981285,49.711193,11.96848696518766
71,Вязники,56.29773,42.2687398,Владимирская область,56.24514,42.137577,9.988880301507837
874,Артемовский,57.3384177,61.8947443,Свердловская область,57.3998447,61.96666621799851,8.0777766129309
908,Полевской,56.4956952,60.2365298,Свердловская область,56.442108,60.165859,7.37209575979994
549,Новосибирск,55.028191,82.9211489,Новосибирская область,54.96781445,82.95159894278376,6.988845815470311
300,Шарья,58.3760542,45.4062414,Костромская область,58.37257,45.519306,6.603834482146122
262,Новокузнецк,53.794315,87.2142745,Кемеровская область - Кузбасс,53.757607,87.136101,6.561031337862809
667,Гусиноозерск,51.2865048,106.5230319,Республика Бурятия,51.3174054,106.44796676012972,6.248177876882157
822,Рязань,54.6254445,39.7358609,Рязанская область,54.6702523,39.68844236231995,5.84222574445767
813,Таганрог,47.2094917,38.9350989,Ростовская область,47.2392184,38.87550310009352,5.583891008509982
808,Новошахтинск,47.757773,39.9363697,Ростовская область,47.79626975,39.89356042203927,5.343875186563895
